feature_hash,n_members,labels,scenarios,sessions,representative,member_ids,member_paths,status
000d144e1e0723034821,1,1,Stand,3,clip_02851,clip_02851,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_s_3_keypoints_csv/S_N_50_keypoints.csv,keep_one_representative
0027a0ded0e3218d5215,1,1,Bed,1,clip_00172,clip_00172,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_b_1_keypoints_csv/B_D_0193_keypoints.csv,keep_one_representative
003f71ac6bef548df6f1,1,0,Chair,2,clip_04242,clip_04242,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_c_2_keypoints_csv/C_M_46_keypoints.csv,keep_one_representative
0053079c445fad1a5472,1,1,Stand,3,clip_02955,clip_02955,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_s_3_keypoints_csv/S_N_89_resized_keypoints.csv,keep_one_representative
005cd8543b109a5b7352,1,1,Chair,2,clip_01671,clip_01671,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_c_2_keypoints_csv/C_N_78_resized_keypoints.csv,keep_one_representative
006d065eb27bc6f9465d,1,1,Bed,2,clip_00280,clip_00280,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_b_2_keypoints_csv/B_N_219_keypoints.csv,keep_one_representative
0080d2c9ce0ee72d37da,1,1,Chair,1,clip_01102,clip_01102,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_c_1_keypoints_csv/C_M_23_keypoints.csv,keep_one_representative
008720f16a05b46ec521,1,1,Chair,3,clip_01815,clip_01815,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_c_3_keypoints_csv/C_D_0128_resized_keypoints.csv,keep_one_representative
008be71d2ff1a5909158,1,0,Stand,3,clip_05565,clip_05565,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_s_3_keypoints_csv/S_N_394_resized_keypoints.csv,keep_one_representative
00a56702b6c8c6cbc149,1,1,Stand,3,clip_02917,clip_02917,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_s_3_keypoints_csv/S_N_56_keypoints.csv,keep_one_representative
