row_index,clip_id,split,label,scenario,session_id,n_frames,feature_hash,seq_hash,raw_hash,source_folder,filename,path
0,clip_02851,val,1,Stand,3,48,000d144e1e0723034821,096147d2db25365273dd,30616d25edd519f5f4fc,f_mask_s_3_keypoints_csv,S_N_50_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_s_3_keypoints_csv/S_N_50_keypoints.csv
1,clip_00172,train,1,Bed,1,76,0027a0ded0e3218d5215,d4a579e822e2682a1088,cc16a09a3ddf985cfac2,f_mask_b_1_keypoints_csv,B_D_0193_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_b_1_keypoints_csv/B_D_0193_keypoints.csv
2,clip_04242,train,0,Chair,2,88,003f71ac6bef548df6f1,02d8251e337eeb896130,98e5c8c8dafa5553b550,nf_mask_c_2_keypoints_csv,C_M_46_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_c_2_keypoints_csv/C_M_46_keypoints.csv
3,clip_02955,test,1,Stand,3,165,0053079c445fad1a5472,b6652aee23edfb9397fe,c6bd8d826a7470179d03,f_mask_s_3_keypoints_csv,S_N_89_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_s_3_keypoints_csv/S_N_89_resized_keypoints.csv
4,clip_01671,train,1,Chair,2,188,005cd8543b109a5b7352,f98b57633feecc3b3369,953d0c5b32ac066025f6,f_mask_c_2_keypoints_csv,C_N_78_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_c_2_keypoints_csv/C_N_78_resized_keypoints.csv
5,clip_00280,train,1,Bed,2,55,006d065eb27bc6f9465d,1b377fa20169b22368e5,68ad3659026dcae3050b,f_mask_b_2_keypoints_csv,B_N_219_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_b_2_keypoints_csv/B_N_219_keypoints.csv
6,clip_01102,test,1,Chair,1,120,0080d2c9ce0ee72d37da,a7cd72a11c962c2f624b,2c3aef08b421427bb6fd,f_mask_c_1_keypoints_csv,C_M_23_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_c_1_keypoints_csv/C_M_23_keypoints.csv
7,clip_01815,val,1,Chair,3,58,008720f16a05b46ec521,59b8ef9cb18c400f9c1d,06d7157942a0b3100f18,f_mask_c_3_keypoints_csv,C_D_0128_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_c_3_keypoints_csv/C_D_0128_resized_keypoints.csv
8,clip_05565,train,0,Stand,3,120,008be71d2ff1a5909158,e0650cc7f9ad4574148f,36b3ed307b5593a8c295,nf_mask_s_3_keypoints_csv,S_N_394_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_s_3_keypoints_csv/S_N_394_resized_keypoints.csv
9,clip_02917,train,1,Stand,3,44,00a56702b6c8c6cbc149,51058594edc00777e06a,99c2a266fd4a3785233f,f_mask_s_3_keypoints_csv,S_N_56_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_s_3_keypoints_csv/S_N_56_keypoints.csv
10,clip_05115,test,0,Stand,2,148,00b1328c4ad030024100,87cb51fc398c2c2103b1,13e43587ad76bf7cb65d,nf_mask_s_2_keypoints_csv,S_M_145_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_s_2_keypoints_csv/S_M_145_resized_keypoints.csv
11,clip_03661,train,0,Bed,4,120,00b87c585df53e885580,4c55e909eccee2553c90,6b7345cfca5871cfd8b3,nf_mask_b_4_ketpoints_csv,B_D_0038_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_b_4_ketpoints_csv/B_D_0038_keypoints.csv
12,clip_00425,train,1,Bed,2,72,00c277f805513e115071,240e899b73629be2e380,f7e09c02988468672401,f_mask_b_2_keypoints_csv,B_N_405_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_b_2_keypoints_csv/B_N_405_keypoints.csv
13,clip_01280,train,1,Chair,2,90,00c486e09446657aa32c,7f0ce4a2fbb98c5f3bc9,8bcf26ada3b8b7c58e3b,f_mask_c_2_keypoints_csv,C_N_184_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_c_2_keypoints_csv/C_N_184_resized_keypoints.csv
14,clip_00403,train,1,Bed,2,74,00f44e3ca15e1ad6466e,afe7bb584bcfa5a4970e,14e8a1ab0a9ca27c78ca,f_mask_b_2_keypoints_csv,B_N_385_anonymized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_b_2_keypoints_csv/B_N_385_anonymized_keypoints.csv
15,clip_02633,test,1,Stand,3,96,00f60d4fe173c74e7be2,1620bba3f1d7323a6713,fa6f98b93baa1ed90d1a,f_mask_s_3_keypoints_csv,S_N_293_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_s_3_keypoints_csv/S_N_293_keypoints.csv
16,clip_02968,val,0,Bed,1,90,00f847758acc34462487,be7e6912921d84fcd812,58490154387c4061c308,nf_mask_b_1_ketpoints_csv,B_N_117_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_b_1_ketpoints_csv/B_N_117_resized_keypoints.csv
17,clip_00878,train,1,Bed,4,60,01083bc95fe63f12b964,34f497a99b8f6d609764,4f6c07bb7581ef60c6eb,f_mask_b_4_keypoints_csv,B_M_24_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_b_4_keypoints_csv/B_M_24_resized_keypoints.csv
18,clip_00552,test,1,Bed,2,180,0108c3607219bef23464,2116731c2748d4813d7e,576a08f0c047c44ad5fe,f_mask_b_2_keypoints_csv,B_N_528_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_b_2_keypoints_csv/B_N_528_keypoints.csv
